ID,title,author_ID,genre,publishedAt,pages,price,stock,status_code,createdAt,createdBy,modifiedAt,modifiedBy
57697915-7d36-43c3-a875-1d5e711d536b,"The Silent Forest",8f7cb3c1-9a52-4e63-8b7b-fcf4e2a0d234,"Fiction","2018-04-12",340,49.99,25,A,"2025-01-01T09:00:00Z","SYSTEM","2025-01-01T09:00:00Z","SYSTEM"
8b1d4b6d-2c5f-4c1c-ac20-e6a6e022f5b8,"A Brief History of Space",c2ee8f8a-07bb-4272-bc4b-9f6a52fb114d,"Science","2021-09-01",280,69.99,8,L,"2025-01-01T09:05:00Z","SYSTEM","2025-01-01T09:05:00Z","SYSTEM"
b3c97c1f-2e82-4c5d-9f63-45de1c72bb7d,"Cooking with Fire",a5d9eb73-4f7a-49b2-9515-fbc9f91cb9ed,"Cooking","2020-02-17",220,39.99,0,U,"2025-01-01T09:10:00Z","SYSTEM","2025-01-01T09:10:00Z","SYSTEM"
c4f87443-9b2d-4b6e-a1e1-a65d6f47a6c5,"Winds of the North",fa33a1e1-9141-4457-9b01-0f01dd7a2ff9,"Fantasy","2019-11-03",410,59.90,15,A,"2025-01-01T09:15:00Z","SYSTEM","2025-01-01T09:15:00Z","SYSTEM"
2f0e3a28-2902-40bf-9a19-e0bff621adfb,"Gardening for Beginners",4fbd2df0-edf5-4df0-bc37-27fb07c36a1a,"Hobby","2022-06-22",180,34.50,5,L,"2025-01-01T09:20:00Z","SYSTEM","2025-01-01T09:20:00Z","SYSTEM"
94a7c74a-57a0-4e13-9ff8-33a89f92aa3d,"The Lost Empire",97c083c7-b524-4b84-9cc9-866d1d79eca1,"Adventure","2017-08-14",360,54.99,0,U,"2025-01-01T09:25:00Z","SYSTEM","2025-01-01T09:25:00Z","SYSTEM"
dcd30d22-0bd8-4ea2-b5ba-84e27bd97558,"Mindful Living",1d8c658a-3b8f-4a32-b74e-d207c1ff8152,"Self-Help","2023-03-02",250,42.00,12,A,"2025-01-01T09:30:00Z","SYSTEM","2025-01-01T09:30:00Z","SYSTEM"
636fa2f7-1dfb-4926-afaf-7ae1716e998b,"The Ocean Below",4a8fae3c-16d6-4a83-8311-5a7bc2c71aaf,"Non-Fiction","2021-12-09",310,64.90,6,L,"2025-01-01T09:35:00Z","SYSTEM","2025-01-01T09:35:00Z","SYSTEM"
0eacb82f-8765-46ef-9b41-21ba9c9f3df1,"Secrets of Architecture",be73e4f9-e80d-48b0-8b7f-e08e90a1dbe8,"Art","2016-05-27",295,79.00,3,L,"2025-01-01T09:40:00Z","SYSTEM","2025-01-01T09:40:00Z","SYSTEM"
c92dfd60-8831-4c0d-b88f-19e0fd4e4df3,"Deep Sea Tales",8f7cb3c1-9a52-4e63-8b7b-fcf4e2a0d234,"Children","2024-01-11",150,29.99,20,A,"2025-01-01T09:45:00Z","SYSTEM","2025-01-01T09:45:00Z","SYSTEM"
